genres,popularity,vote_average,spoken_languages
"TV Movie, Fantasy, Animation, Horror, Action, Thriller, Science Fiction",6.942203,6.7,English
"Drama, Horror, Science Fiction",8.407369,6.9,"English, Français"
"Drama, Horror, Science Fiction",4.804353,5.7,"English, Français"
"Horror, Science Fiction",1.168944,5.1,English
"Fantasy, Horror",10.254424,4.9,English
Horror,7.932049,3.6,English
"Documentary, Comedy",0.98166,7.4,"English, Italiano"
"Thriller, Horror, War",4.40553,5.1,"English, Deutsch"
"Action, Horror",1.437921,4.6,English
"Drama, Horror",3.881271,5.0,English
"Horror, Thriller",1.404373,4.1,English
"Action, Thriller, War",4.33058,4.8,"Nederlands, English"
"Action, Adventure, Drama, Thriller",2.331052,4.3,English
"Action, Thriller",8.48487,3.6,English
"Action, Adventure",1.286323,3.2,English
"Horror, Mystery, Thriller",3.65867,6.0,English
Horror,5.383766,6.0,English
"Thriller, Comedy, Horror",1.506989,5.1,English
